model,objective,split,step,epoch,loss,actual_ratio,reward_accuracy,reward_margin,learning_rate,grad_norm
Qwen3-1.7B standard IPO,standard_ipo,train,1290,1.428749480681346,1083.406640625,0.5586187984794379,0.9,0.23805029597133398,2.620893318567737e-07,522438.5
Qwen3-1.7B standard IPO,standard_ipo,train,1300,1.4398282786317684,1250.51171875,0.5514320157468319,0.875,0.20880635126959532,2.602436323366556e-07,517444.71875
Qwen3-1.7B standard IPO,standard_ipo,eval,1300,1.4398282786317684,2077.37353515625,0.5220505766990038,0.6809651474530831,0.08938951580098584,,
Qwen3-1.7B standard IPO,standard_ipo,train,1310,1.4509070765821908,1330.63544921875,0.5435766998678446,0.85,0.17600280462065712,2.5839793281653743e-07,425378.46875
Qwen3-1.7B standard IPO,standard_ipo,train,1320,1.4619858745326133,1187.568359375,0.5510622896254063,0.9,0.20685256868600846,2.5655223329641934e-07,434512.75
Qwen3-1.7B standard IPO,standard_ipo,train,1330,1.4730646724830356,1090.2640625,0.5579102326184511,0.925,0.23542311652563513,2.547065337763012e-07,596655.375
Qwen3-1.7B standard IPO,standard_ipo,train,1340,1.484143470433458,1238.941796875,0.5467684175819159,0.875,0.18932933849282563,2.528608342561831e-07,425237.40625
Qwen3-1.7B standard IPO,standard_ipo,train,1350,1.4952222683838803,1159.92666015625,0.5488495048135519,0.95,0.19741146240849047,2.5101513473606497e-07,412610.40625
Qwen3-1.7B standard IPO,standard_ipo,train,1360,1.5063010663343026,1401.99521484375,0.5453151851892472,0.825,0.18397266090614722,2.4916943521594683e-07,294803.28125
Qwen3-1.7B standard IPO,standard_ipo,train,1370,1.5173798642847252,1112.748046875,0.5557862434536218,0.9,0.2264205629006028,2.473237356958287e-07,359616.28125
Qwen3-1.7B standard IPO,standard_ipo,train,1380,1.5284586622351475,1456.643359375,0.550611549243331,0.825,0.20709602428833024,2.454780361757106e-07,513559.125
Qwen3-1.7B standard IPO,standard_ipo,train,1390,1.5395374601855698,1081.80693359375,0.5540821366012096,0.9375,0.21902692429721354,2.4363233665559246e-07,324907.71875
Qwen3-1.7B standard IPO,standard_ipo,train,1400,1.5506162581359924,1269.30849609375,0.5523016016930342,0.8875,0.21262839250266552,2.417866371354743e-07,413785.125
Qwen3-1.7B standard IPO,standard_ipo,eval,1400,1.5506162581359924,2083.61083984375,0.5206435818135259,0.7024128686327078,0.08342042988810398,,
Qwen3-1.7B standard IPO,standard_ipo,train,1410,1.5616950560864147,1340.93037109375,0.5415477376431227,0.8375,0.16764140797313304,2.3994093761535623e-07,534547.875
Qwen3-1.7B standard IPO,standard_ipo,train,1420,1.572773854036837,1251.2021484375,0.5449621483683587,0.925,0.1815087345894426,2.3809523809523806e-07,696880.875
Qwen3-1.7B standard IPO,standard_ipo,train,1430,1.5838526519872593,1030.39853515625,0.5588996849954129,0.925,0.2390537548577413,2.3624953857511995e-07,618039.5
Qwen3-1.7B standard IPO,standard_ipo,train,1440,1.5949314499376817,1301.41513671875,0.5457401968538761,0.8625,0.18518136887578293,2.3440383905500183e-07,436351.1875
Qwen3-1.7B standard IPO,standard_ipo,train,1450,1.6060102478881042,1161.64111328125,0.5527642142027617,0.9,0.21382508920505644,2.3255813953488372e-07,458149.5625
Qwen3-1.7B standard IPO,standard_ipo,train,1460,1.6170890458385265,1183.20107421875,0.5481936231255531,0.9,0.194836920266971,2.3071244001476557e-07,382556.0625
Qwen3-1.7B standard IPO,standard_ipo,train,1470,1.6281678437889489,1236.62314453125,0.5506037183105945,0.85,0.20485587567090988,2.2886674049464746e-07,507918.78125
Qwen3-1.7B standard IPO,standard_ipo,train,1480,1.6392466417393714,1317.52353515625,0.5423242304474115,0.85,0.1707430486800149,2.2702104097452934e-07,310801.8125
Qwen3-1.7B standard IPO,standard_ipo,train,1490,1.6503254396897935,1222.99306640625,0.5488770131021738,0.9125,0.19801971967099236,2.2517534145441123e-07,474386.75
Qwen3-1.7B standard IPO,standard_ipo,train,1500,1.661404237640216,1197.9826171875,0.5493913784623146,0.9,0.19991529546678066,2.2332964193429311e-07,507118.0
Qwen3-1.7B standard IPO,standard_ipo,eval,1500,1.661404237640216,2018.1280517578125,0.5244149520953283,0.6943699731903485,0.09903921930983303,,
Qwen3-1.7B standard IPO,standard_ipo,train,1510,1.6724830355906384,1176.2408203125,0.5537177234888077,0.875,0.21773988902568817,2.2148394241417495e-07,276822.65625
